package	dependency	devDependency	% dependency	% devDependency	consensus	total installed (est)
react	420749	18362	0.9581836939	0.04181630613	0.9163673877	38385773
react-dom	379358	17152	0.956742579	0.043257421	0.913485158	34661721
express	350564	25432	0.9323609826	0.06763901744	0.8647219651	32868448
react-scripts	226216	17764	0.9271907533	0.07280924666	0.8543815067	21328003
typescript	28417	209718	0.1193314716	0.8806685284	0.7613370567	20817051
axios	154707	64568	0.7055387071	0.2944612929	0.4110774142	19168366
eslint	19816	198272	0.09086240417	0.9091375958	0.8182751917	19064602
webpack	39574	164280	0.1941291316	0.8058708684	0.6117417367	17820308
body-parser	175425	3642	0.9796612441	0.02033875588	0.9593224882	15653503
@types/node	18550	155614	0.1065088078	0.8934911922	0.7869823844	15224897
babel-loader	32228	139724	0.1874243975	0.8125756025	0.625151205	15031531
lodash	87410	74732	0.5390953609	0.4609046391	0.07819072171	14173970
bootstrap	121333	40511	0.7496910605	0.2503089395	0.4993821211	14147919
babel-core	27502	124749	0.1806359236	0.8193640764	0.6387281529	13309328
jquery	81192	68344	0.5429595549	0.4570404451	0.08591910978	13071991
rxjs	146365	2011	0.9864465951	0.01355340486	0.9728931903	12970587
karma	1395	144470	0.00956363761	0.9904363624	0.9808727248	12751083
zone.js	138790	1581	0.9887369898	0.01126301017	0.9774739797	12270814
webpack-dev-server	19010	121277	0.135507923	0.864492077	0.7289841539	12263471
tslint	1965	137685	0.01407089151	0.9859291085	0.971858217	12207786
@angular/compiler	131427	7910	0.943231159	0.05676884101	0.886462318	12180425
css-loader	25612	113376	0.1842749014	0.8157250986	0.6314501971	12149916
@angular/core	137243	1384	0.9900163749	0.009983625124	0.9800327498	12118359
@angular/common	137117	1253	0.9909445689	0.009055431091	0.9818891378	12095892
@angular/platform-browser	137003	1209	0.9912525685	0.008747431482	0.982505137	12082080
@angular/platform-browser-dynamic	136805	1174	0.9914914588	0.008508541155	0.9829829177	12061712
vue	83971	53184	0.6122343334	0.3877656666	0.2244686668	11989681
ts-node	3302	133486	0.0241395444	0.9758604556	0.9517209112	11957599
@angular/forms	135709	853	0.9937537529	0.006246247126	0.9875075057	11937842
karma-jasmine	797	133940	0.005915227443	0.9940847726	0.9881695451	11778306
karma-chrome-launcher	779	132191	0.005858464315	0.9941415357	0.9882830714	11623840
@angular/compiler-cli	16052	115454	0.1220628717	0.8779371283	0.7558742567	11495862
jasmine-core	2373	129059	0.01805496378	0.9819450362	0.9638900724	11489393
core-js	122480	4567	0.9640526734	0.03594732658	0.9281053468	11106070
@angular/router	124570	772	0.9938408514	0.00615914857	0.9876817029	10957023
node-sass	48308	77014	0.3854710266	0.6145289734	0.2290579467	10955275
protractor	998	120195	0.00823479904	0.991765201	0.9835304019	10594330
react-router-dom	118054	2884	0.9761530702	0.02384692983	0.9523061403	10572039
nodemon	35650	84951	0.2956028557	0.7043971443	0.4087942886	10542579
gulp	22408	98083	0.1859723963	0.8140276037	0.6280552074	10532964
sass-loader	17950	102256	0.1493269887	0.8506730113	0.7013460227	10508050
@types/jasmine	940	117811	0.007915722815	0.9920842772	0.9841685544	10380858
babel-eslint	15233	103106	0.1287234132	0.8712765868	0.7425531735	10344842
codelyzer	341	116638	0.002915053129	0.9970849469	0.9941698937	10225955
@angular/cli	2878	111978	0.02505746326	0.9749425367	0.9498850735	10040369
jasmine-spec-reporter	343	113946	0.003001163717	0.9969988363	0.9939976726	9990803
mongoose	111312	1349	0.988026025	0.01197397502	0.97605205	9848488
karma-jasmine-html-reporter	217	111000	0.001951140563	0.9980488594	0.9960977189	9722258
karma-coverage-istanbul-reporter	214	108600	0.001966658702	0.9980333413	0.9960666826	9512195
@angular/animations	105240	491	0.9953561396	0.004643860363	0.9907122793	9242688
redux	100853	4113	0.9608158832	0.03918411676	0.9216317665	9175814
cross-env	9798	95009	0.09348612211	0.9065138779	0.8130277558	9161915
eslint-plugin-import	13381	91257	0.1278789732	0.8721210268	0.7442420536	9147142
mocha	14470	88483	0.1405495712	0.8594504288	0.7189008577	8999844
react-redux	98825	3645	0.9644286133	0.03557138675	0.9288572265	8957622
html-webpack-plugin	15456	86414	0.1517227839	0.8482772161	0.6965544321	8905171
@types/jasminewd2	392	101376	0.003851898436	0.9961481016	0.9922962031	8896255
file-loader	18692	82292	0.1850986295	0.8149013705	0.629802741	8827720
jest	13152	87646	0.1304787793	0.8695212207	0.7390424413	8811460
style-loader	22899	75464	0.2328009516	0.7671990484	0.5343980968	8598600
